Date,Job_Count
2026-03-12,90
2026-03-15,94
2026-03-19,63
2026-03-22,69
2026-03-26,75
2026-03-29,82
2026-04-05,42
2026-04-09,43
2026-04-10,43
2026-04-12,47
2026-04-16,62
